token_index,timestamp,eth,usd
3134,1498252232,0.01,3.21
5056,1498254413,0.1,32.1
5719,1498255065,0.04,12.84
6548,1498255212,0.03,9.63
5621,1498255313,0.03,9.63
6208,1498255378,0.06,19.26
5545,1498255572,0.2,64.19
5624,1498256048,0.06,19.26
4025,1498256233,0.06,19.26
6934,1498256384,0.09,28.89
8781,1498256662,0.116,37.23
8878,1498257148,0.131,42.05
5633,1498259396,0.3,96.29
6318,1498260368,0.107,34.34
4641,1498260707,0.2,64.19
5916,1498260925,0.3,96.29
1841,1498261204,0.25,80.24
9926,1498266398,0.001,0.33
4148,1498266421,0.3,98.06
1416,1498266721,0.3,98.06
4445,1498269708,0.35,114.4
5921,1498270088,0.36,117.67
5138,1498301295,0.5,163.43
3507,1498322666,0.23,75.18
9963,1498322764,0.15,49.03
4842,1498322845,0.1,32.69
4509,1498322855,0.2,65.37
1216,1498324624,0.15,49.03
9131,1498324624,0.15,49.03
5167,1498340307,0.15,49.03
8142,1498341733,0.3,98.06
1050,1498342912,0.335,109.49
9439,1498363562,0.135,41.11
3614,1498367033,0.15,45.68
2789,1498367393,0.211740179,64.48
2997,1498369449,0.1,30.45
4468,1498372625,0.1,30.45
6315,1498372686,0.1,30.45
6140,1498372767,0.1,30.45
4468,1498374024,0.2,60.91
8037,1498380844,0.1,30.45
6315,1498381244,0.2,60.91
1036,1498381347,0.15,45.68
2614,1498418456,0.2,60.91
5141,1498465766,0.18,50.28
5715,1498485625,0.2,55.87
2883,1498512805,0.3,83.81
1054,1498515555,0.14,39.11
9874,1498522833,0.2,50.74
6687,1498526283,0.3,76.1
6549,1498527373,0.2,50.74
7735,1498527575,0.29,73.57
8521,1498528046,0.5,126.84
8517,1498563935,0.25,63.42
7223,1498563964,0.25,63.42
7197,1498563972,0.2,50.74
4547,1498564049,0.3,76.1
1257,1498573719,0.15,38.05
1146,1498578024,0.15,38.05
1802,1498578251,1,253.68
7982,1498578375,0.25,63.42
4379,1498579194,1,253.68
861,1498579592,0.3,76.1
4971,1498579998,0.3,76.1
3530,1498592414,0.15,38.05
3544,1498592536,0.15,38.05
1160,1498592571,0.15,38.05
6642,1498598033,0.1,25.37
2624,1498601602,0.1,25.37
2624,1498606798,0.153037884,38.82
8523,1498622284,0.100939472,28.88
5880,1498623928,0.05,14.31
3226,1498623931,0.05,14.31
9571,1498624266,0.03,8.58
8527,1498650980,0.1,28.61
8526,1498652053,0.1,28.61
3257,1498652233,0.1,28.61
5734,1498652394,0.25,71.54
1338,1498732967,0.084,26.53
1430,1498733129,0.079,24.95
1385,1498733243,0.084,26.53
1324,1498734885,0.08,25.27
1387,1498734929,0.084,26.53
1610,1498746546,0.06,18.95
1396,1498746567,0.0999,31.55
1397,1498749939,0.084425904,26.67
9371,1498750243,0.12,37.9
8432,1498750663,0.1,31.59
8954,1498750690,0.08,25.27
1592,1498752559,0.08,25.27
2897,1498752607,0.2,63.17
2574,1498752625,0.12,37.9
8673,1498753084,0.13,41.06
2916,1498753271,0.15,47.38
3544,1498753344,0.15,47.38
4969,1498753939,0.12,37.9
3413,1498754188,0.16,50.54
1401,1498754459,0.08,25.27
8967,1498758295,0.5,157.93
3614,1498763289,0.29,91.6
8781,1498764856,0.19,60.01
2801,1498767123,0.2,63.17
7078,1498770912,0.19,60.01
1374,1498774448,1.89,596.98
5340,1498776727,0.14,44.22
1155,1498776953,0.15,47.38
5104,1498786040,0.19,55.65
7485,1498799897,0.2,58.58
9863,1498801762,0.2,58.58
4827,1498841019,0.14,41.01
7739,1498841143,0.2,58.58
5591,1498848753,0.2,58.58
9513,1498848774,0.14,41.01
5483,1498849562,0.145,42.47
4025,1498849978,0.19,55.65
1054,1498850196,0.19,55.65
3257,1498850249,0.19,55.65
1143,1498850519,0.15,43.94
1257,1498850731,0.19,55.65
4636,1498851151,0.15,43.94
7276,1498851221,0.175,51.26
4509,1498851257,0.18,52.72
1486,1498851417,0.2,58.58
3829,1498851895,0.3,87.87
1886,1498854143,2.29,670.74
8954,1498854491,0.19,55.65
5340,1498855463,0.19,55.65
9303,1498931064,0.35,98.24
2147,1498938815,0.18,50.52
1155,1498938845,0.19,53.33
5624,1498938912,0.19,53.33
6208,1498938949,0.19,53.33
1686,1498939348,0.2,56.14
6140,1498951774,0.2,56.14
3611,1498951850,0.225595534,63.32
7243,1498951853,0.240357102,67.46
4307,1498977184,0.2,52.2
3653,1498983964,0.29,75.69
2769,1498995089,0.201127677,52.49
2232,1498998965,0.21,54.81
9571,1498999514,0.2,52.2
7319,1499000069,0.2,52.2
8477,1499000502,0.2,52.2
7513,1499000502,0.2,52.2
4305,1499000837,0.2,52.2
6909,1499004271,0.21,54.81
1859,1499004377,0.3,78.3
7343,1499004526,0.33,86.13
6594,1499006052,0.24,62.64
6415,1499006193,0.3,78.3
5297,1499006337,0.25,65.25
1211,1499007542,0.21,54.81
6222,1499013312,0.25,65.25
5280,1499017844,0.25,65.25
8233,1499018163,0.2,52.2
6030,1499018338,0.35,91.35
8692,1499028042,0.25,65.25
9671,1499030365,0.25,65.25
7475,1499031578,0.3,78.3
2329,1499032492,2.5,652.5
2766,1499036656,1,261
3416,1499042590,0.25,71
8832,1499054127,0.18,51.12
4538,1499056171,0.12,34.08
3371,1499056462,0.18,51.12
4126,1499056642,0.18,51.12
4840,1499059986,0.18,51.12
9420,1499062781,0.3,85.2
5637,1499062921,0.25,71
6927,1499063066,0.18,51.12
9235,1499063856,0.35,99.4
9926,1499063971,0.19,53.96
2259,1499064013,0.24,68.16
2711,1499069157,1,283.99
1236,1499069318,0.22,62.48
7442,1499089658,0.22,62.48
5357,1499090649,0.25,71
4670,1499090649,0.24,68.16
7758,1499090719,0.35,99.4
5795,1499095634,8.001,2272.2
9661,1499098023,0.4834,137.28
9520,1499100288,0.25,71
3214,1499101352,0.25,71
6965,1499102508,4,1135.96
8432,1499114179,0.01,2.84
1396,1499117493,0.24,68.16
5231,1499118268,0.235,66.74
6548,1499122703,0.49,139.16
6039,1499122910,0.235,66.74
9814,1499123135,0.28,79.52
9279,1499123224,0.28,79.52
8695,1499123394,0.25,71
4040,1499123444,0.3,85.2
3710,1499123492,0.3,85.2
5633,1499123594,0.3,85.2
6103,1499123608,0.3,85.2
8690,1499123769,0.3,85.2
7595,1499123769,0.3,85.2
8878,1499123972,0.3,85.2
9785,1499124206,0.3,85.2
